code,name,req,score,row
K52002,西安欧亚学院第02组,不限,426,K52002 | 西安欧亚学院第02组 | 不限 | 426 | 169 | 98 | 100 | 28 | 73 | 56 | 3
K52003,西安欧亚学院第03组,化,426,K52003 | 西安欧亚学院第03组 | 化 | 426 | 149 | 91 | 114 | 22 | 83 | 58 | 1
K52102,西安外事学院第02组,化,450,K52102 | 西安外事学院第02组 | 化 | 450 | 170 | 109 | 103 | 39 | 65 | 63 | 21
K52202,西安翻译学院第02组,不限,428,K52202 | 西安翻译学院第02组 | 不限 | 428 | 177 | 92 | 74 | 42 | 71 | 64 | 3
K52302,西京学院第02组,不限,450,K52302 | 西京学院第02组 | 不限 | 450 | 162 | 96 | 93 | 45 | 81 | 69 | 2
K52303,西京学院第03组,化,451,K52303 | 西京学院第03组 | 化 | 451 | 183 | 99 | 61 | 50 | 82 | 75 | 3
K52402,西安思源学院第02组,不限,436,K52402 | 西安思源学院第02组 | 不限 | 436 | 186 | 93 | 72 | 48 | 68 | 62 | 2
K52403,西安思源学院第03组,化,441,K52403 | 西安思源学院第03组 | 化 | 441 | 177 | 90 | 103 | 30 | 66 | 65 | 12
K52404,西安思源学院第04组,生,458,K52404 | 西安思源学院第04组 | 生 | 458 | 173 | 105 | 111 | 30 | 75 | 69 | 25 | 护理类
K52503,陕西国际商贸学院第03组,化,426,K52503 | 陕西国际商贸学院第03组 | 化 | 426 | 166 | 94 | 91 | 30 | 76 | 63 | 2
K52602,陕西服装工程学院第02组,不限,439,K52602 | 陕西服装工程学院第02组 | 不限 | 439 | 166 | 94 | 77 | 43 | 85 | 68 | 2
K52701,西安交通工程学院第01组,化,468,K52701 | 西安交通工程学院第01组 | 化 | 468 | 193 | 103 | 36 | 65 | 92 | 82 | 8
K52801,西安交通大学城市学院第01组,化,478,K52801 | 西安交通大学城市学院第01组 | 化 | 478 | 178 | 99 | 92 | 54 | 82 | 72 | 4
K53001,西安建筑科技大学华清学院第01组,不限,446,K53001 | 西安建筑科技大学华清学院第01组 | 不限 | 446 | 182 | 109 | 95 | 31 | T2 | 66
K53302,西安工商学院第02组,不限,430,K53302 | 西安工商学院第02组 | 不限 | 430 | 153 | 102 | 92 | 30 | 87 | 58
K53303,西安工商学院第03组,不限,429,K53303 | 西安工商学院第03组 | 不限 | 429 | 168 | 86 | 91 | 34 | 66 | 60
K53304,西安工商学院第04组,化,433,K53304 | 西安工商学院第04组 | 化 | 433 | 146 | 79 | 102 | 40 | 78 | 57
K53401,延安大学西安创新学院第01组,化,427,K53401 | 延安大学西安创新学院第01组 | 化 | 427 | 145 | 82 | 107 | 38 | 73 | 64
K53403,延安大学西安创新学院第03组,生,435,K53403 | 延安大学西安创新学院第03组 | 生 | 435 | 168 | 96 | 85 | 27 | 82 | 73 | 护理类
K53702,西安明德理工学院第02组,化,444,K53702 | 西安明德理工学院第02组 | 化 | 444 | 204 | 107 | 64 | 39 | 69 | 68 | 14
K54001,西安理工大学高科学院第01组,化,474,K54001 | 西安理工大学高科学院第01组 | 化 | 474 | 184 | 101 | 91 | 51 | 76 | 72 | 18
K54102,西安科技大学高新学院第02组,化,456,K54102 | 西安科技大学高新学院第02组 | 化 | 456 | 184 | 102 | 53 | 52 | 86 | 81
K57101,兰州理工大学第01组,不限,545,K57101 | 兰州理工大学第01组 | 不限 | 545 | 210 | 112 | 98 | 70 | 82 | 75 | 9
