page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
38,H02004,浙江科技学院第04组,不限,487,181,会118,133,B16,88,69,3,,H02004 | 浙江科技学院第04组 | 不限 | 487 | 181 | 会118 | 133 | B16 | 88 | 69 | 3
38,H02101,宁波工程学院第01组,不限,515,员200,109,88,H61,87,79,2,,H02101 | 宁波工程学院第01组 | 不限 | 515 | 员200 | 109 | 88 | H61 | 87 | 79 | 2
38,H02102,宁波工程学院第02组,不限,528,182,91,【95,78,87,86,1,,H02102 | 宁波工程学院第02组 | 不限 | 528 | 182 | 91 | 【95 | 78 | 87 | 86 | 1
38,H02104,宁波工程学院第04组,化,508,190,】111,97,58,87,76,1,,H02104 | 宁波工程学院第04组 | 化 | 508 | 190 | 】111 | 97 | 58 | 87 | 76 | 1
38,H02202,浙江水利水电学院第02组,生不限,530,办187,94,111,66,84,82,20,,H02202 | 浙江水利水电学院第02组 | 生不限 | 530 | 办187 | 94 | 111 | 66 | 84 | 82 | 20
38,H02303,浙江财经大学第03组,招不限,584,225,114,133,55,89,82,4,,H02303 | 浙江财经大学第03组 | 招不限 | 584 | 225 | 114 | 133 | 55 | 89 | 82 | 4
38,H02401,学衢州学院第01组,不限,507,184,98,102,76,73,72,22,,H02401 | 学衢州学院第01组 | 不限 | 507 | 184 | 98 | 102 | 76 | 73 | 72 | 22
38,H02402,衢州学院第02组,北化或生,492,196,101,76,66,78,76,13,,H02402 | 衢州学院第02组 | 北化或生 | 492 | 196 | 101 | 76 | 66 | 78 | 76 | 13
38,H02502,等湖宁波大学第02组,不限,554,219,114,110,60,87,78,15,,H02502 | 等湖宁波大学第02组 | 不限 | 554 | 219 | 114 | 110 | 60 | 87 | 78 | 15
38,H02503,高宁波大学第03组,化,608,229,122,133,76,88,82,3,,H02503 | 高宁波大学第03组 | 化 | 608 | 229 | 122 | 133 | 76 | 88 | 82 | 3
38,H02504,【宁波大学第04组,化或生,595,213,110,123,85,89,85,1,,H02504 | 【宁波大学第04组 | 化或生 | 595 | 213 | 110 | 123 | 85 | 89 | 85 | 1
38,H02505,省号宁波大学第05组,化或生,565,209,117,108,58,93,87,16,国家专项计划,H02505 | 省号宁波大学第05组 | 化或生 | 565 | 209 | 117 | 108 | 58 | 93 | 87 | 16 | 国家专项计划
38,H02506,北宁波大学第06组,地,565,212,107,111,74,90,78,2,,H02506 | 北宁波大学第06组 | 地 | 565 | 212 | 107 | 111 | 74 | 90 | 78 | 2
38,H02603,众浙江传媒学院第03组,不限,556,217,115,121,53,89,76,8,,H02603 | 众浙江传媒学院第03组 | 不限 | 556 | 217 | 115 | 121 | 53 | 89 | 76 | 8
38,H02604,湖公浙江传媒学院第04组,不限,552,212,111,110,63,79,78,1,,H02604 | 湖公浙江传媒学院第04组 | 不限 | 552 | 212 | 111 | 110 | 63 | 79 | 78 | 1
38,H02605,浙江传媒学院第05组,不限,550,182,105,124,58,89,87,2,,H02605 | 浙江传媒学院第05组 | 不限 | 550 | 182 | 105 | 124 | 58 | 89 | 87 | 2
38,H03002,信浙大城市学院第02组,不限,544,210,108,102,61,89,82,3,,H03002 | 信浙大城市学院第02组 | 不限 | 544 | 210 | 108 | 102 | 61 | 89 | 82 | 3
38,H03101,浙大宁波理工学院第01组,不限,532,198,99,89,76,87,82,4,,H03101 | 浙大宁波理工学院第01组 | 不限 | 532 | 198 | 99 | 89 | 76 | 87 | 82 | 4
38,H06102,微浙江树人学院第02组,不限,449,172,87,91,35,76,75,1,,H06102 | 微浙江树人学院第02组 | 不限 | 449 | 172 | 87 | 91 | 35 | 76 | 75 | 1
38,H06202,浙江越秀外国语学院第02组,不限,424,,,,,,,,,H06202 | 浙江越秀外国语学院第02组 | 不限 | 424
38,H06302,宁波财经学院第02组,不限,453,161,105,97,44,82,69,5,,H06302 | 宁波财经学院第02组 | 不限 | 453 | 161 | 105 | 97 | 44 | 82 | 69 | 5
38,H06502,浙江工业大学之江学院第02组,不限,479,173,90,110,45,78,73,5,,H06502 | 浙江工业大学之江学院第02组 | 不限 | 479 | 173 | 90 | 110 | 45 | 78 | 73 | 5
38,H06801,杭州电子科技大学信息工程学院第01组,不限,533,222,116,100,78,67,66,16,,H06801 | 杭州电子科技大学信息工程学院第01组 | 不限 | 533 | 222 | 116 | 100 | 78 | 67 | 66 | 16
38,H06802,杭州电子科技大学信息工程学院第02组,不限,529,200,103,115,56,82,76,15,,H06802 | 杭州电子科技大学信息工程学院第02组 | 不限 | 529 | 200 | 103 | 115 | 56 | 82 | 76 | 15
38,H06803,杭州电子科技大学信息工程学院第03组,不限,563,210,110,109,75,89,80,5,,H06803 | 杭州电子科技大学信息工程学院第03组 | 不限 | 563 | 210 | 110 | 109 | 75 | 89 | 80 | 5
38,H06804,杭州电子科技大学信息工程学院第04组,不限,533,198,100,122,73,78,62,17,,H06804 | 杭州电子科技大学信息工程学院第04组 | 不限 | 533 | 198 | 100 | 122 | 73 | 78 | 62 | 17
