志愿序号,草案梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,是否建议填入6专业,专业选择顺位,专业角色判断,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,第19期页码,版面列,专业行ID,专业组出现ID
3,冲刺待补历史,K467,西安石油大学,K46706,11,38,人工智能（办学地点：鄠邑校区）,true,2,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-58a7616cf779f800,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,13,40,软件工程（办学地点：鄂邑校区）,true,3,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,,6480,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-3be74d5a9da77c34,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,12,39,计算机科学与技术（办学地点：鄂邑校,true,4,主线偏好-计算机/数字媒体,计算机类相关,优先了解-命中当前偏好方向,,,2,6480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-f73b8a4b72ba653b,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,3,29,电子信息工程（办学地点：郵邑校区）,true,5,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,6480,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-03f5eeb2ad024138,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,4,30,通信工程（办学地点：鄠邑校区）,true,6,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-e783be97caa5a623,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,19,46,光电信息科学与工程（办学地点：鄂邑校区）K468 陕西科技大学（公办）（陕西）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,,6480,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,224,left,M-87b9c5f7648da1e1,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,2,28,电气工程及其自动化（办学地点：鄂邑校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-e24a9cf8a0bf1854,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,5,31,自动化（办学地点：邻邑校区）32/（机械电子工程（办学地点：鄂邑校区）,false,,主线偏好-工科信息制造,,待了解-未命中当前偏好方向,,,2,6480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-3ccff0ee7e6901a9,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,17,44,数据计算及应用（办学地点：鄂邑校,false,,字段缺口待核,,待了解-未命中当前偏好方向,,,2,5250,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,224,left,M-85f76b7f29917fb7,G-cdce4e8285a638c4
3,冲刺待补历史,K467,西安石油大学,K46706,1,27,测控技术与仪器（办学地点：鄂邑校,false,,调剂接受度待判断,,待了解-未命中当前偏好方向,,「化学,2,6480,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,224,left,M-428d9e4f48c61701,G-cdce4e8285a638c4
