来源期号,来源PDF_SHA256,数据阶段,最终可用,PDF页码,页码范围角色,私有页图证据编号,私有页图SHA256,私有页图大小字节,私有OCR文本证据编号,私有OCR文本SHA256,OCR引擎,识别语言,OCR识别行数,OCR平均置信度,OCR错误,OCR行类型分布,OCR栏位分布,OCR_QC_P0数,OCR_QC_P1数,疑似招生计划行数,结构化状态,结构化院校数,结构化专业组数,结构化专业明细数,结构异常数,高严重结构异常数,候选V2字段任务数,候选V2字段P0任务数,底座页级复核优先级,底座页级审计状态,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,25,招生计划明细页,page-025,5f200985e7151b322f601587b2c17aec0a3282849486a57ee20cdb7955091721,4415764,025_page-025,791aa22ca55369610a398bc5c22a24b0b217f71735eb3bb210ddeae7b8f7864f,apple_vision,"zh-Hans,en-US",246,0.6715,,major_or_numbered_line:86；page_header:2；school:21；table_header:6；text:131,left:149；right:97,67,80,17,结构化招生计划页,3,19,40,4,2,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,26,招生计划明细页,page-026,e2fe120b0521de7d0ae6abdff24e36844696008de5bb63a4b8503d55d401a409,3969497,026_page-026,b23c1752f751f0e10cbc25298f79194ed3d9dd2282f04d11fd9cffff5679770c,apple_vision,"zh-Hans,en-US",252,0.6837,,major_or_numbered_line:104；page_header:2；school:7；table_header:2；text:137,left:138；outside:1；right:113,49,99,15,结构化招生计划页,3,5,50,22,17,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,27,招生计划明细页,page-027,cb8c7f583909c69fcc07cb7cae4ead068a01d40823b227f4840cd7d6bed8bb35,4368702,027_page-027,397c87fa947ad37db24589d78b85cb35a271830db5120650d88edf9867fe2857,apple_vision,"zh-Hans,en-US",254,0.6992,,major_or_numbered_line:87；page_header:2；school:9；table_header:2；text:154,left:129；right:125,57,87,11,结构化招生计划页,3,6,36,13,3,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,28,招生计划明细页,page-028,228a1c408973a6bd38efa0b105a85af68ad9485f53dda9934a3234e94d1da548,4122272,028_page-028,7bd75b192bf9f24d42f96a178173876794e9d121ea7dfbbfff4c9dc30d6cadad,apple_vision,"zh-Hans,en-US",243,0.6700,,major_or_numbered_line:76；page_header:2；school:4；table_header:2；text:159,left:134；outside:1；right:108,79,72,9,结构化招生计划页,2,3,34,22,20,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,29,招生计划明细页,page-029,80d87cf6a401e9fe629ebac708938b5ab10245dbba25bed33514a779dac5022e,4225249,029_page-029,c2aa028a96cdbee84a5c37b902d8ce245a490c073cb5edd291e8e2a568cc66fb,apple_vision,"zh-Hans,en-US",233,0.6670,,major_or_numbered_line:97；page_header:2；school:16；table_header:2；text:116,left:119；right:114,53,90,15,结构化招生计划页,5,9,41,21,14,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,30,招生计划明细页,page-030,f42e67c508337a6d741863873060b84fe2cd8148b53cde6ca84b6dab73169c93,3998990,030_page-030,825ccad3a4988c40e883d1b757260b85b12e35c7baacf2b03403ba9cddd8e2c2,apple_vision,"zh-Hans,en-US",235,0.7047,,major_or_numbered_line:81；page_header:2；school:6；table_header:2；text:144,left:136；outside:1；right:98,88,57,17,结构化招生计划页,2,5,44,14,8,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,31,招生计划明细页,page-031,bff084530c6bdee01dfe02df80a7a7af7c2f1698937587541a43b60756ffcea4,4251931,031_page-031,e383f0f0251bc5c59b94d7330874fadb847f4a74a2f6955da9e51de29556e94c,apple_vision,"zh-Hans,en-US",268,0.7410,,major_or_numbered_line:127；page_header:2；school:8；table_header:2；text:129,left:126；right:142,63,73,14,结构化招生计划页,3,6,55,14,6,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,32,招生计划明细页,page-032,5af9b4b7c811c1cd0fb177880b052c2c297fd70b1c01acf7f6046ff0ca2263c2,3996636,032_page-032,6fcde5a681250cb6e8c9bba7725975fe82cd3db74fafb227bbf47b40f4f19055,apple_vision,"zh-Hans,en-US",257,0.6965,,major_or_numbered_line:100；page_header:2；school:9；table_header:2；text:144,left:128；outside:1；right:128,105,57,12,结构化招生计划页,2,8,45,18,12,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,33,招生计划明细页,page-033,71061053b75c3329ba82f409f86cae9b21db863d511d2e18fb292a436e5d1415,4107244,033_page-033,bcd0e17581bd37751cad12c6943eb49e264038c6098b9acfd592677ae28ffebc,apple_vision,"zh-Hans,en-US",299,0.7204,,major_or_numbered_line:133；page_header:2；school:23；table_header:2；text:139,left:162；right:137,83,64,17,结构化招生计划页,3,21,55,9,2,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,34,招生计划明细页,page-034,0805631e93c4a0540aa5badd8b4994386d0a3303e537f9f85094b1787aafea1e,4108640,034_page-034,db37b7c0867f50decb3aa124497f53b6b50eaa1b80e90dfd1930d090a3b582cb,apple_vision,"zh-Hans,en-US",238,0.7034,,major_or_numbered_line:92；page_header:2；school:9；table_header:2；text:133,left:123；outside:1；right:114,55,76,15,结构化招生计划页,3,7,41,10,6,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
